member_id,og_id,name,party,house,startDate,endDate
2968,4696,The Lord Bishop of London,Bishops,2.0,2018-04-10T00:00:00,
2969,1813,Lord Trefgarne,Conservative,,1962-06-29T00:00:00,
2970,2441,Baroness O'Neill of Bengarve,Crossbench,2.0,1999-02-25T00:00:00,
2971,3989,Jack Lopresti,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
2972,3989,Jack Lopresti,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2973,3989,Jack Lopresti,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2974,3989,Jack Lopresti,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2975,483,Maria Eagle,Labour,1.0,1997-05-01T00:00:00,2015-03-30T00:00:00
2976,483,Maria Eagle,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2977,483,Maria Eagle,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2978,483,Maria Eagle,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2979,1241,Mike Watson,Labour,1.0,1997-11-06T00:00:00,2005-09-22T00:00:00
2980,1241,Mike Watson,Non-affiliated,1.0,2005-09-23T00:00:00,2012-10-30T00:00:00
2981,1241,Mike Watson,Labour,1.0,2012-10-31T00:00:00,
2982,1241,Mike Watson,Labour,1.0,1989-06-15T00:00:00,1997-05-01T00:00:00
2983,1744,Viscount Waverley,Crossbench,2.0,1990-06-29T00:00:00,
2984,2182,Lord Black of Crossharbour,Conservative,2.0,2001-10-30T00:00:00,2007-07-16T00:00:00
2985,2182,Lord Black of Crossharbour,Non-affiliated,2.0,2007-07-17T00:00:00,
2986,155,Geraint Davies,Labour,1.0,1997-05-01T00:00:00,2015-03-30T00:00:00
2987,155,Geraint Davies,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2988,155,Geraint Davies,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2989,155,Geraint Davies,Labour,1.0,2019-12-12T00:00:00,2023-06-01T00:00:00
2990,155,Geraint Davies,Independent,1.0,2023-06-01T00:00:00,2024-05-30T00:00:00
